mode: set
permen_api/pkg/binder/binder.go:18.49,22.16 3 1
permen_api/pkg/binder/binder.go:22.16,24.3 1 1
permen_api/pkg/binder/binder.go:26.2,26.20 1 1
permen_api/pkg/binder/binder.go:26.20,28.3 1 1
permen_api/pkg/binder/binder.go:30.2,31.55 2 1
permen_api/pkg/binder/binder.go:31.55,33.3 1 1
permen_api/pkg/binder/binder.go:35.2,35.58 1 1
permen_api/pkg/binder/binder.go:35.58,37.3 1 0
permen_api/pkg/binder/binder.go:39.2,39.20 1 1
permen_api/pkg/binder/binder.go:45.48,49.38 3 1
permen_api/pkg/binder/binder.go:49.38,51.3 1 1
permen_api/pkg/binder/binder.go:53.2,55.43 2 1
permen_api/pkg/binder/binder.go:55.43,59.25 3 1
permen_api/pkg/binder/binder.go:59.25,60.12 1 0
permen_api/pkg/binder/binder.go:64.3,65.16 2 1
permen_api/pkg/binder/binder.go:65.16,67.4 1 1
permen_api/pkg/binder/binder.go:70.3,70.48 1 1
permen_api/pkg/binder/binder.go:70.48,72.4 1 1
permen_api/pkg/binder/binder.go:75.3,76.23 2 1
permen_api/pkg/binder/binder.go:76.23,77.12 1 1
permen_api/pkg/binder/binder.go:80.3,80.61 1 1
permen_api/pkg/binder/binder.go:80.61,82.4 1 1
permen_api/pkg/binder/binder.go:85.2,85.20 1 1
permen_api/pkg/binder/binder.go:91.50,95.38 3 1
permen_api/pkg/binder/binder.go:95.38,97.3 1 1
permen_api/pkg/binder/binder.go:99.2,101.43 2 1
permen_api/pkg/binder/binder.go:101.43,105.25 3 1
permen_api/pkg/binder/binder.go:105.25,106.12 1 0
permen_api/pkg/binder/binder.go:110.3,111.16 2 1
permen_api/pkg/binder/binder.go:111.16,113.4 1 1
permen_api/pkg/binder/binder.go:114.3,114.16 1 1
permen_api/pkg/binder/binder.go:114.16,116.4 1 1
permen_api/pkg/binder/binder.go:119.3,119.48 1 1
permen_api/pkg/binder/binder.go:119.48,121.4 1 0
permen_api/pkg/binder/binder.go:124.3,125.23 2 1
permen_api/pkg/binder/binder.go:125.23,126.12 1 1
permen_api/pkg/binder/binder.go:129.3,129.61 1 1
permen_api/pkg/binder/binder.go:129.61,131.4 1 1
permen_api/pkg/binder/binder.go:134.2,134.20 1 1
permen_api/pkg/binder/binder.go:141.58,145.38 3 1
permen_api/pkg/binder/binder.go:145.38,147.3 1 1
permen_api/pkg/binder/binder.go:150.2,150.63 1 1
permen_api/pkg/binder/binder.go:150.63,152.3 1 1
permen_api/pkg/binder/binder.go:154.2,156.43 2 1
permen_api/pkg/binder/binder.go:156.43,160.25 3 1
permen_api/pkg/binder/binder.go:160.25,161.12 1 0
permen_api/pkg/binder/binder.go:165.3,166.16 2 1
permen_api/pkg/binder/binder.go:166.16,168.4 1 1
permen_api/pkg/binder/binder.go:171.3,171.48 1 1
permen_api/pkg/binder/binder.go:171.48,173.4 1 1
permen_api/pkg/binder/binder.go:176.3,176.65 1 1
permen_api/pkg/binder/binder.go:176.65,178.18 2 1
permen_api/pkg/binder/binder.go:178.18,181.5 2 1
permen_api/pkg/binder/binder.go:182.4,182.12 1 1
permen_api/pkg/binder/binder.go:186.3,187.22 2 1
permen_api/pkg/binder/binder.go:187.22,188.12 1 1
permen_api/pkg/binder/binder.go:191.3,191.60 1 1
permen_api/pkg/binder/binder.go:191.60,193.4 1 0
permen_api/pkg/binder/binder.go:196.2,196.20 1 1
